Ad Name,Image URL,Link URL,Position,Active
Bitcoin 2027,ad-poc-bitcoin-2027.jpg,https://tickets.b.tc/affiliate/fomo/event/bitcoin-2027,7,Yes
BTC Prague 2026,ad-poc-btc-prague-2026.jpg,https://btcprague.com/?promo_id=35835&promo_key=eb83bf115bc6bae5aaad1bc19a4962e9,11,Yes
River,ad-poc-river.jpg,https://river.com/invite?r=QDNSENKB,15,Yes
FOMO21,ad-poc-fomo21.jpg,https://fomo21.com/discount/POC15AD,19,Yes
TBD,,,23,No
